Timestamp,Umidade Ambiente THT860 (modo temperatura / umidade),Temperatura Ambiente THT860 (modo temperatura / umidade)
08/09/2020 22:28:50,42.8,23.5
08/09/2020 22:23:45,42.8,23.5
08/09/2020 22:18:38,42.1,23.5
08/09/2020 22:13:31,42.3,23.5
08/09/2020 22:08:24,41.3,23.3
08/09/2020 22:03:18,42.2,23.4
08/09/2020 21:58:11,41.8,23.4
08/09/2020 21:53:05,42.2,23.4
08/09/2020 21:47:56,41.2,23.4
08/09/2020 21:42:50,41.3,23.2
08/09/2020 21:37:42,42.2,23.5
08/09/2020 21:32:36,43.3,23.6
08/09/2020 21:27:28,43.5,23.6
08/09/2020 21:22:21,42.6,23.4
08/09/2020 21:17:15,43.1,23.4
08/09/2020 21:12:09,41.2,23.3
08/09/2020 21:07:02,40.6,23.2
08/09/2020 21:01:55,41.1,23.3
08/09/2020 20:56:49,42.9,23.5
08/09/2020 20:51:42,43.3,23.4
08/09/2020 20:46:37,43.3,23.3
08/09/2020 20:41:29,43.9,23.4
08/09/2020 20:36:23,44.3,23.3
08/09/2020 20:31:18,43.9,23.3
08/09/2020 20:26:11,43.4,23.2
08/09/2020 20:21:05,43.9,23.4
08/09/2020 20:15:56,44.8,23.4
08/09/2020 20:10:49,45.3,23.4
08/09/2020 20:05:42,45.1,23.4
08/09/2020 20:00:34,45,23.4
08/09/2020 19:55:26,44.1,23.4
08/09/2020 19:50:21,44.2,23.5
08/09/2020 19:45:15,44.9,23.4
08/09/2020 19:40:10,45.4,23.6
08/09/2020 19:35:05,46.5,23.6
08/09/2020 19:29:57,45.6,23.5
08/09/2020 19:24:51,44.4,23.5
08/09/2020 19:19:44,44.9,23.5
08/09/2020 19:14:36,45.8,23.7
08/09/2020 19:09:29,46.4,23.8
08/09/2020 19:04:22,46.3,23.7
08/09/2020 18:59:14,46.7,23.6
08/09/2020 18:54:09,46.6,23.5
08/09/2020 18:49:03,46.4,23.5
08/09/2020 18:43:55,45.2,23.4
08/09/2020 18:38:49,45.1,23.5
08/09/2020 18:33:43,45.3,23.8
08/09/2020 18:28:33,45.3,23.6
08/09/2020 18:23:25,45.3,23.7
08/09/2020 18:18:18,45.5,23.4
08/09/2020 18:13:10,45.1,23.5
08/09/2020 18:08:03,45.1,23.4
08/09/2020 18:02:55,44.6,23.6
08/09/2020 17:57:50,44.7,23.5
08/09/2020 17:52:42,44.4,23.5
08/09/2020 17:47:36,44.3,23.5
08/09/2020 17:42:28,43.9,23.7
08/09/2020 17:37:20,44.2,23.6
08/09/2020 17:32:12,43.9,23.8
08/09/2020 17:27:02,43.9,23.8
08/09/2020 17:21:54,43.6,23.9
08/09/2020 17:16:46,43.7,23.8
08/09/2020 17:11:39,43.8,23.7
08/09/2020 17:06:30,44,23.5
08/09/2020 17:01:24,44.1,23.2
08/09/2020 16:56:18,43.9,23.6
08/09/2020 16:51:13,44.1,23.5
08/09/2020 16:46:06,43.9,23.5
08/09/2020 16:40:57,43.7,23.7
08/09/2020 16:35:50,44.1,23.6
08/09/2020 16:30:46,44,23.6
08/09/2020 16:25:40,44.4,23.5
08/09/2020 16:20:35,44.5,23.6
08/09/2020 16:15:30,44.9,23.6
08/09/2020 16:10:23,45,23.6
08/09/2020 16:05:17,45.3,23.5
08/09/2020 16:00:09,45.3,23.3
08/09/2020 15:55:04,45.4,23.2
08/09/2020 15:49:56,45.2,23.2
08/09/2020 15:44:50,45.4,23.1
08/09/2020 15:39:43,45.3,23
08/09/2020 15:34:36,45.3,23.2
08/09/2020 15:29:28,45.7,23.1
08/09/2020 15:24:21,45.8,23.2
08/09/2020 15:19:16,46.2,23.1
08/09/2020 15:14:09,46.3,23.2
08/09/2020 15:09:00,46.9,23.2
08/09/2020 15:03:56,47.2,23
08/09/2020 14:58:51,47.3,23.2
08/09/2020 14:53:45,47.3,23.2
08/09/2020 14:48:39,47.9,23.1
08/09/2020 14:43:32,47.9,23.1
08/09/2020 14:38:27,48.3,23.1
